Title,URL,Description
W3Schools,https://www.w3schools.com/html/default.asp,
FreeCodeCamp,https://www.freecodecamp.org/learn/responsive-web-design/#basic-html-and-html5,
MDN Web Docs,https://developer.mozilla.org/en-US/docs/Web/HTML,
placehold,https://placehold.co/,to add placeholder images from the internet
irfanview,https://www.irfanview.com/,for light image editing
tinypng,https://tinypng.com/,to compress an image
canva,https://www.canva.com/,to create images and designs
favicon.io,https://www.favicon.io/,to create favicons
freepik,https://www.freepik.com/,to get free images
pexels,https://www.pexels.com/,to get free images
unsplash,https://www.unsplash.com/,to get free images
pixabay,https://www.pixabay.com/,to get free images
iconfinder,https://www.iconfinder.com/,to get free icons
flaticon,https://www.flaticon.com/,to get free icons
fontawesome,https://www.fontawesome.com/,to get free icons
google fonts,https://www.google.com/fonts,to get free fonts
HTML5 Outliner,https://chromewebstore.google.com/detail/html5-outliner/afoibpobokebhgfnknfndkgemglggomo?hl=en,to see if the html file folow good semantic tags
W3C Validator,https://validator.w3.org/,to validate the html file